x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
848.823,1857.827,1623.517,1748.796,454.251,1900.42,1578.505,1530.312,823.482,1376.745,472.091,1278.895,1722.641,796.266,505.498,754.186,929.324,621.285,928.387,416.152,473.015,349.967,1714.309,371.39
848.067,1855.129,1623.2,1748.019,454.211,1900.592,1578.453,1530.44,nan,nan,472.543,1279.033,1721.56,794.206,504.987,752.44,930.599,621.006,928.308,416.17,473.665,349.49,1716.213,382.075
848.28,1855.022,1623.768,1747.483,453.085,1897.282,1579.147,1529.936,823.098,1380.529,473.955,1279.551,1721.088,792.343,504.951,751.205,931.517,621.105,928.981,416.668,474.621,348.84,1722.259,390.68
847.532,1852.94,1634.542,1746.639,453.747,1898.091,1578.876,1530.557,823.308,1383.824,474.694,1279.628,1720.541,791.863,504.837,751.169,932.309,621.328,929.207,416.949,474.843,348.631,1724.858,396.557
847.552,1852.191,1634.951,1742.103,453.748,1898.132,1579.172,1530.683,823.189,1384.433,474.991,1279.714,1719.059,790.532,504.597,750.137,932.832,621.389,929.383,417.029,476.379,347.256,1727.205,400.555
846.932,1850.192,1636.758,1742.634,454.28,1898.582,1579.191,1530.598,823.45,1385.15,475.272,1279.867,1719.036,789.754,504.758,750.322,933.154,621.417,930.256,417.392,476.222,346.953,1728.423,402.331
846.429,1849.141,1637.603,1741.786,454.863,1899.78,1579.643,1530.735,823.539,1386.838,476.061,1280.324,1718.489,789.486,504.538,748.677,934.26,621.371,930.392,417.285,476.818,346.78,1729.531,404.585
846.792,1849.998,1638.276,1741.159,455.496,1900.738,1579.63,1530.621,823.581,1387.589,476.224,1280.7,1717.975,789.255,502.624,748.327,933.464,621.758,930.625,417.684,476.647,346.474,1729.642,405.077
846.233,1848.991,1638.994,1741.07,455.908,1901.599,1580.311,1530.886,nan,nan,477.841,1281.144,1717.743,788.826,499.831,736.641,935.04,621.61,930.862,417.757,477.1,346.193,1730.109,406.582
846.267,1848.868,1639.706,1740.55,457.722,1905.802,1580.375,1530.837,823.858,1390.249,477.345,1281.26,1717.751,788.612,491.594,722.108,935.404,621.636,931.338,417.925,477.113,345.876,1730.824,407.662
846.156,1848.404,1640.187,1740.202,457.884,1906.759,1580.466,1531.018,823.802,1391.347,478.639,1281.883,1717.485,788.302,489.537,716.358,936.956,622.211,931.554,418.294,477.226,345.808,1731.117,409.153
846.09,1847.902,1640.297,1740.37,458.875,1908.499,1579.764,1531.043,nan,nan,478.853,1282.133,1717.416,788.245,487.624,712.489,949.283,622.219,932.124,418.1,478.184,347.05,1731.022,409.753
845.489,1845.972,1641.39,1739.455,458.71,1908.513,1580.042,1531.277,824.163,1404.198,478.233,1282.149,1717.134,788.188,485.688,708.763,962.981,622.492,932.436,418.455,487.702,340.893,1731.398,410.785
845.212,1845.081,1643.303,1736.638,459.166,1909.179,1579.534,1531.492,824.096,1416.114,479.077,1281.961,1716.97,788.3,483.973,704.466,990.181,623.586,932.388,417.914,497.624,337.652,1731.035,411.373
845.474,1845.455,1643.933,1736.627,459.2,1909.408,1582.508,1531.822,825.218,1423.261,480.048,1282.366,1717.012,787.83,483.292,703.459,1034.862,631.65,932.283,417.716,502.093,336.588,1738.061,407.343
854.49,1845.712,1644.057,1736.591,459.541,1910.091,1582.685,1531.829,825.353,1426.146,480.166,1282.529,1717.218,787.885,482.465,702.241,1059.85,641.785,932.429,417.626,503.834,335.912,1745.781,400.187
871.08,1846.309,1644.278,1736.892,459.932,1910.898,1581.992,1531.942,825.313,1426.189,481.083,1282.913,1710.9,798.987,481.807,700.844,1075.444,649.625,932.612,417.854,506.44,335.455,1749.619,397.248
879.343,1843.975,1644.394,1736.797,459.852,1911.154,1580.133,1531.672,826.022,1429.067,482.076,1283.169,1665.849,845.576,481.16,700.16,1086.344,655.672,933.183,418.083,507.069,335.54,1750.228,396.192
886.295,1842.091,1644.394,1736.962,460.175,1911.541,1579.727,1531.616,827.582,1432.809,485.078,1287.041,1631.264,868.019,481.565,699.774,1093.551,660.105,933.409,417.978,509.826,335.016,1750.84,395.404
889.306,1842.106,1643.784,1736.889,460.161,1911.609,1580.462,1531.652,827.931,1434.659,495.711,1290.28,1604.878,878.652,480.492,698.661,1096.196,661.517,933.403,418.352,510.582,334.78,1750.673,394.317
893.245,1841.269,1644.739,1736.717,460.215,1911.724,1581.068,1531.841,827.479,1435.765,499.688,1292.469,1588.619,885.657,480.055,698.309,1098.334,663.111,933.482,418.386,510.913,334.785,1752.098,393.871
896.584,1840.269,1644.985,1736.365,460.31,1910.686,1580.791,1531.78,827.844,1436.979,502.371,1293.499,1575.444,890.476,479.538,697.474,1099.977,663.999,933.542,418.284,511.855,334.779,1752.653,392.712
898.021,1840.642,1645.345,1736.528,465.14,1915.933,1580.802,1531.957,827.448,1437.952,505.463,1294.808,1566.246,894.504,479.241,697.365,1102.857,666.206,933.88,418.637,512.33,334.844,1752.581,392.123
899.339,1840.223,1644.323,1738.33,467.154,1918.519,1580.394,1531.757,827.543,1438.943,507.351,1295.456,1557.597,896.889,478.94,696.883,1104.259,666.724,934.427,418.651,512.871,334.643,1752.238,391.48
899.849,1840.725,1644.175,1738.88,469.857,1921.701,1580.499,1531.861,827.56,1440.123,510.644,1296.822,1551.468,899.457,478.647,696.505,1105.129,667.555,934.589,418.846,513.433,334.673,1751.693,391.231
900.443,1840.845,1644.216,1739.298,470.521,1922.673,1580.214,1531.869,827.778,1441.195,511.818,1297.139,1543.148,902.643,478.001,695.674,1106.188,668.493,934.608,418.949,513.889,334.839,1750.512,390.715
902.405,1840.737,1644.322,1739.388,472.707,1925.57,1580.363,1532.133,828.397,1442.587,512.544,1297.734,1538.745,904.29,478.01,696.008,1107.294,669.351,935.84,419.444,514.827,334.851,1749.951,392.415
903.551,1840.532,1643.921,1739.925,472.601,1926.07,1580.57,1532.556,nan,nan,513.232,1298.117,1534.082,905.947,477.897,696.208,1107.481,669.904,935.498,419.18,521.218,332.59,1747.116,400.59
904.179,1840.716,1644.262,1739.613,473.986,1928.173,1579.525,1532.342,nan,nan,514.074,1298.784,1528.836,908.335,476.985,695.389,1108.302,670.49,936.001,419.991,529.263,328.333,1746.379,400.979
905.114,1840.998,1644.238,1740.192,474.288,1928.45,1579.789,1532.538,nan,nan,515.513,1299.374,1524.494,910.212,476.873,695.456,1109.185,671.087,935.965,419.798,535.055,327.202,1745.351,400.931
906.191,1840.65,1644.508,1739.839,474.669,1928.925,1579.883,1532.46,nan,nan,515.913,1299.61,1522.372,910.863,476.493,695.022,1109.097,671.085,936.53,420.061,537.043,327.196,1747.321,403.873
907.043,1840.796,1647.44,1738.357,475.634,1930.598,1580.37,1532.623,849.999,1447.291,517.275,1300.673,1518.428,912.856,476.299,694.977,1110.535,672.322,936.567,420.31,538.697,327.473,1735.615,406.223
908.192,1840.308,1656.786,1746.259,475.834,1930.931,1580.598,1532.765,861.741,1454.938,517.624,1300.849,1514.884,913.924,476.075,694.93,1110.876,672.674,936.852,420.166,540.642,326.94,1726.659,419.582
908.24,1840.25,1665.134,1744.016,476.079,1931.037,1581.909,1533.04,867.747,1458.901,517.42,1300.672,1512.885,914.98,476.235,693.848,1111.539,673.022,940.855,414.954,540.995,326.664,1723.586,424.625
908.141,1840.68,1668.317,1744.968,476.24,1932.255,1581.33,1533.245,nan,nan,517.675,1301.217,1510.027,916.353,472.447,688.396,1111.102,673.195,956.806,414.196,541.462,327.171,1720.646,429.732
908.41,1840.696,1670.666,1745.278,476.37,1932.468,1581.407,1533.552,872.985,1461.803,518.107,1301.479,1504.861,918.434,470.454,683.169,1111.12,673.19,967.91,416.087,542.356,326.796,1719.088,431.09
908.531,1840.718,1671.682,1745.348,476.655,1933.072,1582.326,1533.593,875.456,1462.865,518.685,1301.768,1502.894,918.771,468.905,681.321,1112.355,675.559,972.513,417.81,544.016,327.206,1717.172,433.163
908.695,1841.059,1671.831,1745.718,477.211,1934.029,1582.089,1533.66,877.539,1464.104,518.588,1301.696,1501.463,919.288,467.634,678.699,1130.781,697.533,975.163,418.021,544.347,327.097,1715.767,434.388
910.779,1840.792,1671.957,1746.263,477.03,1934.07,1581.507,1533.683,879.147,1464.733,518.962,1301.937,1500.668,919.79,466.99,677.824,1155.725,723.953,977.342,418.43,544.979,327.177,1714.709,434.652
913.808,1838.773,1672.4,1746.372,477.206,1934.563,1581.769,1533.694,879.344,1465.064,518.806,1301.946,1499.895,920.023,466.711,676.981,1172.588,749.396,979.266,418.19,545.333,327.37,1713.626,434.659
916.159,1838.048,1672.026,1747.185,477.022,1934.956,1581.913,1533.754,880.595,1466.26,518.762,1302.226,1493.544,922.536,466.172,676.559,1180.538,769.288,981.58,419.086,545.897,327.601,1712.823,435.04
